entity_id,dimension,semantic_key,value,coordinate,lens_id,translator_version
feel_like_making_shrub:8894769633282015214,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:319252012517983696,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:1920799588800369121,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:665152429280042290,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:3234182737768169797,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:1188104290788010341,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:7984022336755567343,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:2280769082554763866,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:3497448792677401950,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:8243200901257134030,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:3944258834630596204,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:7207405919470606464,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:1636982690093398807,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:6656232859440122091,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:216449136778594004,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:1244316098629475102,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:6169353830330283727,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:3164199771661559378,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:3622359659152066111,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:4956588581150773805,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:8784938455082096690,when,date,2014,WHEN|date|2014,web_declaration_v1,1.0.0
feel_like_making_shrub:2159288522360361176,when,date,2013,WHEN|date|2013,web_declaration_v1,1.0.0
feel_like_making_shrub:2672119606907324524,when,date,2012,WHEN|date|2012,web_declaration_v1,1.0.0
feel_like_making_shrub:6747272451036494811,when,date,2012,WHEN|date|2012,web_declaration_v1,1.0.0
feel_like_making_shrub:3925957438307229690,when,date,2012,WHEN|date|2012,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,when,date,2016-03-15,WHEN|date|2016-03-15,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,when,year,2016,WHEN|year|2016,web_declaration_v1,1.0.0
779c785edd5377e0c9b0024f3aefad84,when,decade,2010s,WHEN|decade|2010s,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,when,date,2016-03-16,WHEN|date|2016-03-16,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,when,year,2016,WHEN|year|2016,web_declaration_v1,1.0.0
7441a526a5eb5afcfe6c6914cff55f5b,when,decade,2010s,WHEN|decade|2010s,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,when,date,2001,WHEN|date|2001,web_declaration_v1,1.0.0
f023d71c14d5f830e88ca35eeff79e6d,when,decade,2000s,WHEN|decade|2000s,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,when,date,c. 1950,WHEN|date|c. 1950,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,when,year,1950,WHEN|year|1950,web_declaration_v1,1.0.0
2aea8e4e263a205860d4f4c01d38b6fc,when,decade,1950s,WHEN|decade|1950s,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,when,date,[1963],WHEN|date|[1963],web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,when,year,1963,WHEN|year|1963,web_declaration_v1,1.0.0
53f8ea57abe8f96a901702b15a96f53e,when,decade,1960s,WHEN|decade|1960s,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,when,date,1954,WHEN|date|1954,web_declaration_v1,1.0.0
6c9f2a94b13a21671aa38828ea26856c,when,decade,1950s,WHEN|decade|1950s,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,when,date,2020,WHEN|date|2020,web_declaration_v1,1.0.0
a237875fbe4fec1727b348bc8a7346c9,when,decade,2020s,WHEN|decade|2020s,web_declaration_v1,1.0.0
368519d53332295393c11a48d5e5c1ed,when,date,2002,WHEN|date|2002,web_declaration_v1,1.0.0
368519d53332295393c11a48d5e5c1ed,when,decade,2000s,WHEN|decade|2000s,web_declaration_v1,1.0.0
7cdace405b09a20df0fb99bbcb4dc107,when,date,2000,WHEN|date|2000,web_declaration_v1,1.0.0
7cdace405b09a20df0fb99bbcb4dc107,when,decade,2000s,WHEN|decade|2000s,web_declaration_v1,1.0.0
5554d79a36f10fcdef558fc1efa69c04,when,date,2008,WHEN|date|2008,web_declaration_v1,1.0.0
5554d79a36f10fcdef558fc1efa69c04,when,decade,2000s,WHEN|decade|2000s,web_declaration_v1,1.0.0
856f21d9ba761c3ec5074dc166aa68c7,when,date,2023,WHEN|date|2023,web_declaration_v1,1.0.0
856f21d9ba761c3ec5074dc166aa68c7,when,decade,2020s,WHEN|decade|2020s,web_declaration_v1,1.0.0
a0277d919a6dda83914624c795fad5cc,when,date,1989,WHEN|date|1989,web_declaration_v1,1.0.0
a0277d919a6dda83914624c795fad5cc,when,decade,1980s,WHEN|decade|1980s,web_declaration_v1,1.0.0
860fb09c982e6e8fb7289524a243e2df,when,date,1990,WHEN|date|1990,web_declaration_v1,1.0.0
